,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22,0.5613156795501709,0.0062362768592663445,0.04680633544921875,0.025855602869850607,True,entropy,1,500,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
1,0.11934266090393067,0.007476038941436251,0.007481575012207031,0.00040835291342712567,True,gini,1,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
2,0.5666803836822509,0.006815756802332759,0.04776630401611328,0.02873564821806818,True,gini,1,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 1, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
25,0.11506857872009277,0.002163917120778448,0.0074784278869628905,0.0003334299095331619,True,entropy,2,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
26,0.5721481323242188,0.010221772806152964,0.03348145484924316,0.00019197268563198277,True,entropy,2,500,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
27,1.1328584671020507,0.005301365950296595,0.06984944343566894,0.008919420931811499,True,entropy,2,1000,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 2, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
37,0.12360692024230957,0.011317257965746152,0.007626199722290039,0.0005310516099636876,True,entropy,5,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
29,0.11450963020324707,0.001063599924159035,0.007404899597167969,0.00013990995411431142,True,entropy,3,100,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
30,0.5753010749816895,0.004881310605895438,0.03420839309692383,0.0006717700703695822,True,entropy,3,500,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
31,1.1488448619842528,0.01266379123467872,0.0663830280303955,0.000570533410102563,True,entropy,3,1000,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 1000}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
